Title	IMDB	Budget	 Dom  Box  Office 	 Intl  Box  Office 	Score	Year	Writers	Directors	Producers	 Female  Character  Percentage 	 Female  Talk  Percentage 	 Female  Writer  Percentage 	 Female  Director  Percentage 	 Female  Producer  Percentage 	 Overall  Female  Production  Percentage 
Legend	89469	-6	-4	33997163.54	3	1985				-6	-7	-8	-5	-5	-5
 Red  Sonja 	89893	-6	-4	15145012.68	3	1985				-6	-7	-8	-5	-5	-5
 Return  to  Oz 	89908	-6	-4	23287763.43	3	1985				-6	-7	-8	-5	-5	-5
 Crocodile  Dundee 	90555	-6	-4	705607150	3	1986				-6	-7	-8	-5	-5	-5
Aliens	90605	-6	-4	394357930.8	3	1986				-6	-7	-8	-5	-5	-5
 The  Clan  of  the  Cave  Bear 	90848	-6	-4	4202948.889	3	1986				-6	-7	-8	-5	-5	-5
Highlander	91203	-6	-4	27751012.99	3	1986				-6	-7	-8	-5	-5	-5
 Howard  The  Duck 	91225	-6	-4	35056142.28	3	1986				-6	-7	-8	-5	-5	-5
 Little  Shop  of  Horrors 	91419	-6	-4	83354974.94	1	1986				-6	-7	-8	-5	-5	-5
 My  Beautiful  Laundrette 	91578	-6	-4	-12	2	1985				-6	-7	-8	-5	-5	-5
 Peggy  Sue  Got  Married 	91738	-6	-4	89024477.29	3	1986				-6	-7	-8	-5	-5	-5
Platoon	91763	-6	-4	296792410.6	0	1986				-6	-7	-8	-5	-5	-5
 Stand  By  Me 	92005	-6	-4	112482844.7	0	1986				-6	-7	-8	-5	-5	-5
 Top  Gun 	92099	-6	-4	767564193.3	2	1986				-6	-7	-8	-5	-5	-5
 Beverly  Hills  Cop  II 	92644	-6	-4	574612467	1	1987				-6	-7	-8	-5	-5	-5
Bloodsport	92675	-6	-4	23554738.35	1	1988				-6	-7	-8	-5	-5	-5
 Evil  Dead  II 	92991	-6	-4	12301716.87	3	1987				-6	-7	-8	-5	-5	-5
 Fatal  Attraction 	93010	-6	-4	664823620	3	1987				-6	-7	-8	-5	-5	-5
"Good  Morning,  Vietnam"	93105	-6	-4	257377440.5	1	1987				-6	-7	-8	-5	-5	-5
Hellraiser	93177	-6	-4	30248332.84	3	1987				-6	-7	-8	-5	-5	-5
 The  Last  Emperor 	93389	-6	-4	91351459.52	3	1987				-6	-7	-8	-5	-5	-5
 Lethal  Weapon 	93409	-6	-4	249630468.8	1	1987				-6	-7	-8	-5	-5	-5
 The  Lost  Boys 	93437	-6	-4	66923847.45	1	1987				-6	-7	-8	-5	-5	-5
Predator	93773	-6	-4	204094325.4	0	1987				-6	-7	-8	-5	-5	-5
 The  Princess  Bride 	93779	-6	-4	64087667.52	2	1987				-6	-7	-8	-5	-5	-5
 Radio  Days 	93818	-6	-4	30723488.74	1	1987				-6	-7	-8	-5	-5	-5
RoboCop	93870	-6	-4	460199446.2	1	1987				-6	-7	-8	-5	-5	-5
Spaceballs	94012	-6	-4	79171298.21	3	1987				-6	-7	-8	-5	-5	-5
 Superman  IV:  The  Quest  for  Peace 	94074	-6	-4	23319345.81	3	1987				-6	-7	-8	-5	-5	-5
 Action  Jackson 	94612	-6	-4	40415341.29	1	1988				-6	-7	-8	-5	-5	-5
Akira	94625	-6	-4	39075.08394	1	1988				-6	-7	-8	-5	-5	-5
 Beetle  Juice 	94721	-6	-4	146296206.7	3	1988				-6	-7	-8	-5	-5	-5
 Child&#39;s  Play 	94862	-6	-4	88178115.19	3	1988				-6	-7	-8	-5	-5	-5
 Dangerous  Liaisons 	94947	-6	-4	69230999.39	3	1988				-6	-7	-8	-5	-5	-5
 Die  Hard 	95016	-6	-4	277541183.5	3	1988				-6	-7	-8	-5	-5	-5
 The  Land  Before  Time 	95489	-6	-4	163546457.4	3	1988				-6	-7	-8	-5	-5	-5
 The  Last  Temptation  of  Christ 	95497	-6	-4	16706388.25	2	1988				-6	-7	-8	-5	-5	-5
 Midnight  Run 	95631	-6	-4	162829727	2	1988				-6	-7	-8	-5	-5	-5
 My  Stepmother  Is  an  Alien 	95687	-6	-4	27640526.81	3	1988				-6	-7	-8	-5	-5	-5
 Mystic  Pizza 	95690	-6	-4	25524119.14	3	1988				-6	-7	-8	-5	-5	-5
 Poltergeist  III 	95889	-6	-4	28159260.3	3	1988				-6	-7	-8	-5	-5	-5
 Rain  Man 	95953	-6	-4	823589528.2	1	1988				-6	-7	-8	-5	-5	-5
Scrooged	96061	-6	-4	120363296.3	3	1988				-6	-7	-8	-5	-5	-5
 They  Live 	96256	-6	-4	25936685.61	0	1988				-6	-7	-8	-5	-5	-5
Twins	96320	-6	-4	432145086.7	2	1988				-6	-7	-8	-5	-5	-5
 Who  Framed  Roger  Rabbit 	96438	-6	-4	701288079.9	1	1988				-6	-7	-8	-5	-5	-5
 Young  Guns 	96487	-6	-4	89235454.99	1	1988				-6	-7	-8	-5	-5	-5
 The  Abyss 	96754	-6	-4	103273830.2	3	1989				-6	-7	-8	-5	-5	-5
 Back  to  the  Future  Part  II 	96874	-6	-4	632096911.3	3	1989				-6	-7	-8	-5	-5	-5
Batman	96895	-6	-4	783169832.3	1	1989				-6	-7	-8	-5	-5	-5
 Bill  &amp;  Ted&#39;s  Excellent  Adventure 	96928	-6	-4	77079722.7	2	1989				-6	-7	-8	-5	-5	-5
 Dead  Poets  Society 	97165	-6	-4	455985572.8	1	1989				-6	-7	-8	-5	-5	-5
 Henry  V 	97499	-6	-4	19345780.71	3	1989				-6	-7	-8	-5	-5	-5
 Indiana  Jones  and  the  Last  Crusade 	97576	-6	-4	902778716.9	0	1989				-6	-7	-8	-5	-5	-5
 Licence  to  Kill 	97742	-6	-4	297327373.4	2	1989				-6	-7	-8	-5	-5	-5
 Major  League 	97815	-6	-4	94801312.54	1	1989				-6	-7	-8	-5	-5	-5
 Road  House 	98206	-6	-4	57212439.12	1	1989				-6	-7	-8	-5	-5	-5
 Star  Trek  V:  The  Final  Frontier 	98382	-6	-4	133654226.8	1	1989				-6	-7	-8	-5	-5	-5
 Troop  Beverly  Hills 	98519	-6	-4	13690048.24	3	1989				-6	-7	-8	-5	-5	-5
UHF	98546	-6	-4	11722650.79	1	1989				-6	-7	-8	-5	-5	-5
"Sex,  Lies,  and  Videotape"	98724	-6	-4	69952693.18	2	1989				-6	-7	-8	-5	-5	-5
 Back  to  the  Future  Part  III 	99088	-6	-4	440132670.6	1	1990				-6	-7	-8	-5	-5	-5
 Child&#39;s  Play  2 	99253	-6	-4	61706296.62	3	1990				-6	-7	-8	-5	-5	-5
