Title	IMDB	Budget	Dom Box Office	Intl Box Office	Score	Year	Writers	Directors	Producers	Female Char %	Female Talk %	Female Writer %	Female Director %	Female Producer %	Overall Female Production %	Genre
 Marley & Me 	822832	64856157	154740035.8	267868911.5	2	2008	" [['Scott Frank', 'm'], ['Don Roos', 'm'], ['John Grogan', 'm']] "	" [['David Frankel', 'm']] "	" [['Joseph M. Caracciolo Jr.', 'm'], ['Arnon Milchan', 'm'], ['Gil Netter', 'm'], ['Karen Rosenfelt', 'f']] "	0.625	0.364099045	0	0	0.25	0.125	Comedy
Orphan	1148204	21931634.4	45613688.47	86377114.84	3	2009	" [['David Johnson', 'm'], ['Alex Mace', 'NULL']] "	" [['Jaume Collet-Serra', 'm']] "	" [['David Barrett', 'm'], ['Don Carmody', 'm'], ['Leonardo DiCaprio', 'm'], ['Susan Downey', 'f'], ['Christoph Fisser', 'm'], ['Michael Ireland', 'm'], ['Jennifer Davisson Killoran', 'f'], ['Richard Mirisch', 'm'], ['Henning Molfenter', 'm'], ['Erik Olsen', 'm'], ['Steve Richards', 'm'], ['Joel Silver', 'm'], ['Charlie Woebcken', 'm']] "	0.625	0.701878573	0	0	0.153846154	0.125	Drama
Smashed	2063781	-5.15354415	387526.9366	514436.0534	3	2012	" [['Susan Burke', 'f'], ['James Ponsoldt', 'm']] "	" [['James Ponsoldt', 'm']] "	" [['Jennifer Cochis', 'f'], ['Stephanie Meurer', 'f'], ['Stephen A. Ricci', 'm'], ['Elise Salomon', 'f'], ['Jonathan Schwartz', 'm'], ['Andrea Sperling', 'f'], ['Audrey Wilf', 'NULL'], ['Zygi Wilf', 'NULL']] "	0.625	0.616615385	0.5	0	0.5	0.454545455	Drama
" Synecdoche, New York "	383028	21618719	-12.9712314	4738323.812	3	2008	" [['Charlie Kaufman', 'm']] "	" [['Charlie Kaufman', 'm']] "	" [['Ray Angelic', 'm'], ['Anthony Bregman', 'm'], ['William Horberg', 'm'], ['Spike Jonze', 'm'], ['Charlie Kaufman', 'm'], ['Sidney Kimmel', 'm'], ['Bruce Toll', 'm']] "	0.615384615	0.533514413	0	0	0	0	Drama
Bridesmaids	1478338	34055442.2	177200132.3	303383724.2	3	2011	" [['Kristen Wiig', 'f'], ['Annie Mumolo', 'f']] "	" [['Paul Feig', 'm']] "	" [['Judd Apatow', 'm'], ['Paul Feig', 'm'], ['Barry Mendel', 'm'], ['Annie Mumolo', 'f'], ['Clayton Townsend', 'm'], ['Kristen Wiig', 'f']] "	0.615384615	0.817307692	1	0	0.333333333	0.444444444	Comedy
 Into the Woods 	2180411	49618617	127026013.4	201950125.1	3	2014	" [['James Lapine', 'm']] "	" [['Rob Marshall', 'm']] "	" [['John DeLuca', 'm'], ['Rob Marshall', 'm'], ['Callum McDougall', 'm'], ['Angus More Gordon', 'NULL'], ['Marc Platt', 'm'], ['Michael Zimmer', 'm']] "	0.615384615	0.508139697	0	0	0	0	Musical
 Four rooms 	113101	-6	-4	8245652	3	1995	[]	" [['Allison Anders', 'f'], ['Alexandre Rockwell', 'm'], ['Robert Rodriguez', 'm'], ['Quentin Tarantino', 'm']] "	" [['Lawrence Bender', 'm'], ['Paul Hellerman', 'm'], ['Scott Lambert', 'm'], ['Alexandre Rockwell', 'm'], ['Quentin Tarantino', 'm'], ['Heidi Vogel', 'f']] "	0.611111111	0.38542541	-5	0.25	0.166666667	0.2	&&&&
 Pride and Prejudice 	414387	-6	-4	49965019	3	2005	" [['Jane Austen', 'f'], ['Deborah Moggach', 'f'], ['Emma Thompson', 'f']] "	" [['Joe Wright', 'm']] "	" [['Tim Bevan', 'm'], ['Liza Chasin', 'f'], ['Eric Fellner', 'm'], ['Jane Frazer', 'f'], ['Debra Hayward', 'f'], ['Paul Webster', 'm']] "	0.611111111	0.703286926	1	0	0.5	0.6	&&&&
 Drop Dead Gorgeous 	157503	-6	-4	17358252	3	1999	" [['Lona Williams', 'f']] "	" [['Michael Patrick Jann', 'm']] "	" [['Judy Hofflund', 'f'], ['Donna Langley', 'f'], ['Michael Nelson', 'm'], ['Gavin Polone', 'm'], ['Claire Rudnick Polstein', 'f'], ['Lona Williams', 'f']] "	0.608695652	0.82394802	1	0	0.666666667	0.625	&&&&
 Before Sunrise 	112471	-6	-4	43324200	0	1995	" [['Richard Linklater', 'm'], ['Kim Krizan', 'f']] "	" [['Richard Linklater', 'm']] "	" [['Wolfgang Ramml', 'm'], ['Gernot Schaffler', 'NULL'], ['John Sloss', 'm'], ['Anne Walker-McBay', 'f'], ['Ellen Winn Wendl', 'f']] "	0.6	0.521446078	0.5	0	0.4	0.375	&&&&
Stepmom	120686	72553681	-17.41288344	231802160.3	3	1998	" [['Gigi Levangie', 'f'], ['Jessie Nelson', 'f'], ['Steven Rogers', 'm'], ['Karen Leigh Hopkins', 'f'], ['Ronald Bass', 'm']] "	" [['Chris Columbus', 'm']] "	" [['Michael Barnathan', 'm'], ['Ronald Bass', 'm'], ['Chris Columbus', 'm'], ['Wendy Finerman', 'f'], ['Margaret French-Isaac', 'f'], ['Patrick McCormick', 'm'], ['Pliny Porter', 'NULL'], ['Mark Radcliffe', 'm'], ['Julia Roberts', 'f'], ['Susan Sarandon', 'f']] "	0.6	0.825762578	0.6	0	0.4	0.4375	Drama
