person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Trevor  Short 	2.0	 Matthew  O'Toole 	2.0	 ['Homefront',  '  The    Expendables    3  ',  '  The    Big    Wedding  ',  '  Before    I    Go    to    Sleep  ',  '  The    Expendables  ',  '  The    Expendables    2  '] 	6	2.0
 Trevor  Short 	2.0	 Lonnie  Ramati 	2.125	 ['Homefront',  '  Olympus    Has    Fallen  ',  '  The    Expendables    3  ',  '  The    Expendables    2  ',  '  Before    I    Go    to    Sleep  ',  '  The    Legend    of    Hercules  ',  '  The    Paperboy  ',  'Lovelace'] 	8	2.125
 John  Thompson 	1.7777777777777777	 Matthew  O'Toole 	2.0	 ['Homefront',  '  The    Expendables    3  ',  '  The    Big    Wedding  ',  '  The    Expendables  ',  '  The    Expendables    2  '] 	5	1.8
 John  Thompson 	1.7777777777777777	 Lonnie  Ramati 	2.125	 ['Homefront',  '  Olympus    Has    Fallen  ',  '  The    Expendables    3  ',  '  The    Expendables    2  ',  '  The    Legend    of    Hercules  ',  '  The    Paperboy  ',  'Lovelace'] 	7	2.0
 Matthew  O'Toole 	2.0	 Lonnie  Ramati 	2.125	 ['  Before    I    Go    to    Sleep  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	2.0
 Hal  Waite 	3.0	 Julia  Pistor 	2.2857142857142856	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Hal  Waite 	3.0	 Gabor  Csupo 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Hal  Waite 	3.0	 Kate  Boutilier 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Hal  Waite 	3.0	 Norton  Virgien 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Hal  Waite 	3.0	 Eryk  Casemiro 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Hal  Waite 	3.0	 Arlene  Klasky 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Hal  Waite 	3.0	 Albie  Hecht 	2.6666666666666665	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Hal  Waite 	3.0	 Tracy  Kramer 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Julia  Pistor 	2.2857142857142856	 Gabor  Csupo 	3.0	 ['  The    Rugrats    Movie  ',  '  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	4	3.0
 Julia  Pistor 	2.2857142857142856	 Kate  Boutilier 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Julia  Pistor 	2.2857142857142856	 Norton  Virgien 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
