person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Jack  Kirby 	2.2	 Stephen  McFeely 	2.4285714285714284	 ['  Thor:    The    Dark    World  ',  '  Captain    America:    The    Winter    Soldier  ',  '  Captain    America:    The    First    Avenger  '] 	3	2.3333333333333335
 Bryan  Singer 	1.4761904761904763	 Tom  DeSanto 	2.25	 ['  Apt    Pupil  ',  'X-Men',  '  X2    (X-Men    2)  '] 	3	1.6666666666666667
 Bryan  Singer 	1.4761904761904763	 Christopher  McQuarrie 	0.8333333333333334	 ['Valkyrie',  '  Jack    the    Giant    Slayer  ',  '  The    Usual    Suspects  '] 	3	0.6666666666666666
 Tom  DeSanto 	2.25	 Steven  Spielberg 	1.76	 ['  Transformers:    Revenge    of    the    Fallen  ',  'Transformers',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Tom  DeSanto 	2.25	 Ehren  Kruger 	2.7	 ['  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 J.J.  Abrams 	2.0	 Bruce  Geller 	0.6	 ['  Mission:    Impossible    -    Ghost    Protocol  ',  '  Mission:    Impossible    III  ',  '  Mission:    Impossible    -    Rogue    Nation  '] 	3	0.6666666666666666
 Tony  Gilroy 	2.285714285714286	 Robert  Ludlum 	1.8	 ['  The    Bourne    Legacy  ',  '  The    Bourne    Supremacy  ',  '  The    Bourne    Identity  ',  '  The    Bourne    Ultimatum  '] 	4	2.0
 Steven  Spielberg 	1.76	 Colin  Wilson 	2.0	 ['Munich',  '  The    Haunting  ',  '  The    Lost    World:    Jurassic    Park  ',  'Casper',  '  War    of    the    Worlds  '] 	5	2.6
 Steven  Spielberg 	1.76	 Jeff  Nathanson 	1.0	 ['  Indiana    Jones    and    the    Kingdom    of    the    Crystal    Skull  ',  '  Catch    Me    If    You    Can  ',  '  The    Terminal  '] 	3	1.0
 Steven  Spielberg 	1.76	 Ehren  Kruger 	2.7	 ['  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Steven  Spielberg 	1.76	 Ted  Elliott 	1.5333333333333334	 ['Shrek',  '  The    Mask    of    Zorro  ',  '  The    Legend    of    Zorro  '] 	3	1.0
 Steven  Spielberg 	1.76	 Terry  Rossio 	1.5333333333333334	 ['Shrek',  '  The    Mask    of    Zorro  ',  '  The    Legend    of    Zorro  '] 	3	1.0
 Steven  Spielberg 	1.76	 Lowell  Cunningham 	1.0	 ['  Men    in    Black    III  ',  '  Men    in    Black    II  ',  '  Men    in    Black  '] 	3	1.0
 John  Erick  Dowdle 	3.0	 Drew  Dowdle 	3.0	 ['  As    Above    So    Below  ',  'Quarantine',  'Devil'] 	3	3.0
 Andy  Wachowski 	2.84	 Lana  Wachowski 	2.84	 ['  Cloud    Atlas  ',  'Assassins',  '  V    for    Vendetta  ',  'Bound',  '  Ninja    Assassin  ',  '  The    Matrix    Reloaded  ',  '  The    Matrix    Revolutions  ',  '  Jupiter    Ascending  ',  '  Speed    Racer  ',  '  The    Matrix  '] 	10	2.6
 John  Carpenter 	2.2222222222222223	 Debra  Hill 	2.2	 ['  The    Fog  ',  'Halloween',  '  Escape    from    L.A.  '] 	3	2.3333333333333335
 Stephenie  Meyer 	3.0	 Melissa  Rosenberg 	3.0	 ['  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  ',  '  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  '] 	5	3.0
 Baz  Luhrmann 	2.75	 Craig  Pearce 	2.5	 ['  Romeo    +    Juliet  ',  '  The    Great    Gatsby  ',  '  Moulin    Rouge!  '] 	3	3.0
 Paul  W.S.  Anderson 	2.5833333333333335	 Bernd  Eichinger 	2.8	 ['  Resident    Evil  ',  '  Resident    Evil:    Apocalypse  ',  '  Resident    Evil:    Extinction  ',  '  Resident    Evil:    Afterlife  ',  '  DOA:    Dead    or    Alive  '] 	5	3.0
 Dan  O'Bannon 	2.3333333333333335	 Ronald  Shusett 	2.0	 ['Prometheus',  '  Total    Recall  ',  '  AVP:    Alien    vs.    Predator  '] 	3	2.3333333333333335
 David  S.  Goyer 	1.4285714285714286	 Christopher  Nolan 	1.9565217391304348	 ['  The    Dark    Knight  ',  '  Batman    Begins  ',  '  The    Dark    Knight    Rises  ',  '  Man    of    Steel  '] 	4	2.0
 Christopher  Nolan 	1.9565217391304348	 Jonathan  Nolan 	1.8	 ['  The    Dark    Knight  ',  '  The    Prestige  ',  'Interstellar',  '  The    Dark    Knight    Rises  ',  'Memento'] 	5	1.8
 Jon  Hoeber 	2.25	 Erich  Hoeber 	2.25	 ['Whiteout',  'Red',  '  Red    2  ',  'Battleship'] 	4	2.25
 Tim  Herlihy 	1.9333333333333333	 Adam  Sandler 	2.1666666666666674	 ['  Jack    and    Jill  ',  '  Just    Go    with    It  ',  '  Mr    Deeds  ',  '  Grown    Ups  ',  'Blended',  'Click',  '  Little    Nicky  ',  'Pixels',  "  That's    My    Boy  ",  '  Bedtime    Stories  ',  '  The    Longest    Yard  ',  '  Billy    Madison  ',  '  Grown    Ups    2  '] 	13	2.0
 Tim  Herlihy 	1.9333333333333333	 Allen  Covert 	2.25	 ['  Jack    and    Jill  ',  '  Just    Go    with    It  ',  '  Grown    Ups  ',  'Blended',  "  That's    My    Boy  ",  'Pixels',  '  The    Longest    Yard  ',  '  Grown    Ups    2  '] 	8	2.0
 Adam  Sandler 	2.1666666666666674	 Allen  Covert 	2.25	 ['  Jack    and    Jill  ',  '  Just    Go    with    It  ',  '  Grown    Ups  ',  'Blended',  '  The    House    Bunny  ',  "  That's    My    Boy  ",  'Pixels',  "  Grandma's    Boy  ",  '  The    Longest    Yard  ',  '  Hotel    Transylvania    2  ',  '  Grown    Ups    2  '] 	11	2.1818181818181817
 Adam  Sandler 	2.1666666666666674	 Fred  Wolf 	2.75	 ['  Grown    Ups    2  ',  '  Grown    Ups  ',  '  The    House    Bunny  '] 	3	2.6666666666666665
 Adam  Sandler 	2.1666666666666674	 Robert  Smigel 	2.6	 ['  Hotel    Transylvania    2  ',  '  Jack    and    Jill  ',  '  Hotel    Transylvania  '] 	3	2.6666666666666665
